1,中国,1
2,阿尔巴尼亚,ALB
3,阿尔及利亚,DZA
4,阿富汗,AFG
5,阿根廷,ARG
6,阿拉伯联合酋长国,ARE
7,阿鲁巴,ABW
8,阿曼,OMN
9,阿塞拜疆,AZE
10,阿森松岛,ASC
11,埃及,EGY
12,埃塞俄比亚,ETH
13,爱尔兰,IRL
14,爱沙尼亚,EST
15,安道尔,AND
16,安哥拉,AGO
17,安圭拉,AIA
18,安提瓜岛和巴布达,ATG
19,澳大利亚,AUS
20,奥地利,AUT
21,奥兰群岛,ALA
22,巴巴多斯岛,BRB
23,巴布亚新几内亚,PNG
24,巴哈马,BHS
25,巴基斯坦,PAK
26,巴拉圭,PRY
27,巴勒斯坦,PSE
28,巴林,BHR
29,巴拿马,PAN
30,巴西,BRA
31,白俄罗斯,BLR
32,百慕大,BMU
33,保加利亚,BGR
34,北马里亚纳群岛,MNP
35,贝宁,BEN
36,比利时,BEL
37,冰岛,ISL
38,波多黎各,PRI
39,波兰,POL
40,玻利维亚,BOL
41,波斯尼亚和黑塞哥维那,BIH
42,博茨瓦纳,BWA
43,伯利兹,BLZ
44,不丹,BTN
45,布基纳法索,BFA
46,布隆迪,BDI
47,布韦岛,BVT
48,朝鲜,PRK
49,丹麦,DNK
50,德国,DEU
51,东帝汶,TLS
52,多哥,TGO
53,多米尼加,DMA
54,多米尼加共和国,DOM
55,俄罗斯,RUS
56,厄瓜多尔,ECU
57,厄立特里亚,ERI
58,法国,FRA
59,法罗群岛,FRO
60,法属波利尼西亚,PYF
61,法属圭亚那,GUF
62,法属南部领地,ATF
63,梵蒂冈,VAT
64,菲律宾,PHL
65,斐济,FJI
66,芬兰,FIN
67,佛得角,CPV
68,弗兰克群岛,FLK
69,冈比亚,GMB
70,刚果,COG
71,刚果民主共和国,COD
72,哥伦比亚,COL
73,哥斯达黎加,CRI
74,格恩西岛,GGY
75,格林纳达,GRD
76,格陵兰,GRL
77,古巴,CUB
78,瓜德罗普,GLP
79,关岛,GUM
80,圭亚那,GUY
81,哈萨克斯坦,KAZ
82,海地,HTI
83,韩国,KOR
84,荷兰,NLD
85,荷属安地列斯,ANT
86,赫德和麦克唐纳群岛,HMD
87,洪都拉斯,HND
88,基里巴斯,KIR
89,吉布提,DJI
90,吉尔吉斯斯坦,KGZ
91,几内亚,GIN
92,几内亚比绍,GNB
93,加拿大,CAN
94,加纳,GHA
95,加蓬,GAB
96,柬埔寨,KHM
97,捷克共和国,CZE
98,津巴布韦,ZWE
99,喀麦隆,CMR
100,卡塔尔,QAT
101,开曼群岛,CYM
102,科科斯群岛,CCK
103,科摩罗,COM
104,科特迪瓦,CIV
105,科威特,KWT
106,克罗地亚,HRV
107,肯尼亚,KEN
108,库克群岛,COK
109,拉脱维亚,LVA
110,莱索托,LSO
111,老挝,LAO
112,黎巴嫩,LBN
113,利比里亚,LBR
114,利比亚,LBY
115,立陶宛,LTU
116,列支敦士登,LIE
117,留尼旺岛,REU
118,卢森堡,LUX
119,卢旺达,RWA
120,罗马尼亚,ROU
121,马达加斯加,MDG
122,马尔代夫,MDV
123,马耳他,MLT
124,马拉维,MWI
125,马来西亚,MYS
126,马里,MLI
127,马其顿,MKD
128,马绍尔群岛,MHL
129,马提尼克,MTQ
130,马约特岛,MYT
131,曼岛,IMN
132,毛里求斯,MUS
133,毛里塔尼亚,MRT
134,美国,USA
135,美属萨摩亚,ASM
136,美属外岛,UMI
137,蒙古,MNG
138,蒙特塞拉特,MSR
139,孟加拉,BGD
140,密克罗尼西亚,FSM
141,秘鲁,PER
142,缅甸,MMR
143,摩尔多瓦,MDA
144,摩洛哥,MAR
145,摩纳哥,MCO
146,莫桑比克,MOZ
147,墨西哥,MEX
148,纳米比亚,NAM
149,南非,ZAF
150,南极洲,ATA
151,南乔治亚和南桑德威奇群岛,SGS
152,瑙鲁,NRU
153,尼泊尔,NPL
154,尼加拉瓜,NIC
155,尼日尔,NER
156,尼日利亚,NGA
157,纽埃,NIU
158,挪威,NOR
159,诺福克,NFK
160,帕劳群岛,PLW
161,皮特凯恩,PCN
162,葡萄牙,PRT
163,乔治亚,GEO
164,日本,JPN
165,瑞典,SWE
166,瑞士,CHE
167,萨尔瓦多,SLV
168,萨摩亚,WSM
169,塞尔维亚,黑山,SCG
170,塞拉利昂,SLE
171,塞内加尔,SEN
172,塞浦路斯,CYP
173,塞舌尔,SYC
174,沙特阿拉伯,SAU
175,圣诞岛,CXR
176,圣多美和普林西比,STP
177,圣赫勒拿,SHN
178,圣基茨和尼维斯,KNA
179,圣卢西亚,LCA
180,圣马力诺,SMR
181,圣皮埃尔和米克隆群岛,SPM
182,圣文森特和格林纳丁斯,VCT
183,斯里兰卡,LKA
184,斯洛伐克,SVK
185,斯洛文尼亚,SVN
186,斯瓦尔巴和扬马廷,SJM
187,斯威士兰,SWZ
188,苏丹,SDN
189,苏里南,SUR
190,所罗门群岛,SLB
191,索马里,SOM
192,塔吉克斯坦,TJK
193,泰国,THA
194,坦桑尼亚,TZA
195,汤加,TON
196,特克斯和凯克特斯群岛,TCA
197,特里斯坦达昆哈,TAA
198,特立尼达和多巴哥,TTO
199,突尼斯,TUN
200,图瓦卢,TUV
201,土耳其,TUR
202,土库曼斯坦,TKM
203,托克劳,TKL
204,瓦利斯和福图纳,WLF
205,瓦努阿图,VUT
206,危地马拉,GTM
207,维尔京群岛，美属,VIR
208,维尔京群岛，英属,VGB
209,委内瑞拉,VEN
210,文莱,BRN
211,乌干达,UGA
212,乌克兰,UKR
213,乌拉圭,URY
214,乌兹别克斯坦,UZB
215,西班牙,ESP
216,希腊,GRC
217,新加坡,SGP
218,新喀里多尼亚,NCL
219,新西兰,NZL
220,匈牙利,HUN
221,叙利亚,SYR
222,牙买加,JAM
223,亚美尼亚,ARM
224,也门,YEM
225,伊拉克,IRQ
226,伊朗,IRN
227,以色列,ISR
228,意大利,ITA
229,印度,IND
230,印度尼西亚,IDN
231,英国,GBR
232,英属印度洋领地,IOT
233,约旦,JOR
234,越南,VNM
235,赞比亚,ZMB
236,泽西岛,JEY
237,乍得,TCD
238,直布罗陀,GIB
239,智利,CHL
240,中非共和国,CAF
